Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Tipo de centro;Habilidades TIC;Total
Total Nacional;05 Canarias;Ambos sexos;Total;Total;15.448
Total Nacional;05 Canarias;Ambos sexos;Total;Usuario experto;2.063
Total Nacional;05 Canarias;Ambos sexos;Total;Usuario de nivel avanzado;9.223
Total Nacional;05 Canarias;Ambos sexos;Total;Usuario de nivel básico;4.161
Total Nacional;05 Canarias;Ambos sexos;Total;No usuario de las TIC;0
Total Nacional;05 Canarias;Ambos sexos;Total;No consta;0
Total Nacional;05 Canarias;Ambos sexos;Centro Público;Total;11.458
Total Nacional;05 Canarias;Ambos sexos;Centro Público;Usuario experto;1.759
Total Nacional;05 Canarias;Ambos sexos;Centro Público;Usuario de nivel avanzado;6.516
Total Nacional;05 Canarias;Ambos sexos;Centro Público;Usuario de nivel básico;3.183
Total Nacional;05 Canarias;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;05 Canarias;Ambos sexos;Centro Público;No consta;0
Total Nacional;05 Canarias;Ambos sexos;Centro Privado;Total;3.990
Total Nacional;05 Canarias;Ambos sexos;Centro Privado;Usuario experto;304
Total Nacional;05 Canarias;Ambos sexos;Centro Privado;Usuario de nivel avanzado;2.707
Total Nacional;05 Canarias;Ambos sexos;Centro Privado;Usuario de nivel básico;979
Total Nacional;05 Canarias;Ambos sexos;Centro Privado;No usuario de las TIC;0
Total Nacional;05 Canarias;Ambos sexos;Centro Privado;No consta;0
Total Nacional;05 Canarias;Hombres;Total;Total;7.439
Total Nacional;05 Canarias;Hombres;Total;Usuario experto;1.847
Total Nacional;05 Canarias;Hombres;Total;Usuario de nivel avanzado;3.967
Total Nacional;05 Canarias;Hombres;Total;Usuario de nivel básico;1.625
Total Nacional;05 Canarias;Hombres;Total;No usuario de las TIC;0
Total Nacional;05 Canarias;Hombres;Total;No consta;0
Total Nacional;05 Canarias;Hombres;Centro Público;Total;5.497
Total Nacional;05 Canarias;Hombres;Centro Público;Usuario experto;1.608
Total Nacional;05 Canarias;Hombres;Centro Público;Usuario de nivel avanzado;2.592
Total Nacional;05 Canarias;Hombres;Centro Público;Usuario de nivel básico;1.296
Total Nacional;05 Canarias;Hombres;Centro Público;No usuario de las TIC;0
Total Nacional;05 Canarias;Hombres;Centro Público;No consta;0
Total Nacional;05 Canarias;Hombres;Centro Privado;Total;1.942
Total Nacional;05 Canarias;Hombres;Centro Privado;Usuario experto;239
Total Nacional;05 Canarias;Hombres;Centro Privado;Usuario de nivel avanzado;1.374
Total Nacional;05 Canarias;Hombres;Centro Privado;Usuario de nivel básico;329
Total Nacional;05 Canarias;Hombres;Centro Privado;No usuario de las TIC;0
Total Nacional;05 Canarias;Hombres;Centro Privado;No consta;0
Total Nacional;05 Canarias;Mujeres;Total;Total;8.009
Total Nacional;05 Canarias;Mujeres;Total;Usuario experto;216
Total Nacional;05 Canarias;Mujeres;Total;Usuario de nivel avanzado;5.257
Total Nacional;05 Canarias;Mujeres;Total;Usuario de nivel básico;2.537
Total Nacional;05 Canarias;Mujeres;Total;No usuario de las TIC;0
Total Nacional;05 Canarias;Mujeres;Total;No consta;0
Total Nacional;05 Canarias;Mujeres;Centro Público;Total;5.961
Total Nacional;05 Canarias;Mujeres;Centro Público;Usuario experto;151
Total Nacional;05 Canarias;Mujeres;Centro Público;Usuario de nivel avanzado;3.924
Total Nacional;05 Canarias;Mujeres;Centro Público;Usuario de nivel básico;1.886
Total Nacional;05 Canarias;Mujeres;Centro Público;No usuario de las TIC;0
Total Nacional;05 Canarias;Mujeres;Centro Público;No consta;0
Total Nacional;05 Canarias;Mujeres;Centro Privado;Total;2.048
Total Nacional;05 Canarias;Mujeres;Centro Privado;Usuario experto;65
Total Nacional;05 Canarias;Mujeres;Centro Privado;Usuario de nivel avanzado;1.333
Total Nacional;05 Canarias;Mujeres;Centro Privado;Usuario de nivel básico;650
Total Nacional;05 Canarias;Mujeres;Centro Privado;No usuario de las TIC;0
Total Nacional;05 Canarias;Mujeres;Centro Privado;No consta;0
Total Nacional;06 Cantabria;Ambos sexos;Total;Total;3.868
Total Nacional;06 Cantabria;Ambos sexos;Total;Usuario experto;609
Total Nacional;06 Cantabria;Ambos sexos;Total;Usuario de nivel avanzado;2.414
Total Nacional;06 Cantabria;Ambos sexos;Total;Usuario de nivel básico;825
Total Nacional;06 Cantabria;Ambos sexos;Total;No usuario de las TIC;10
Total Nacional;06 Cantabria;Ambos sexos;Total;No consta;10
Total Nacional;06 Cantabria;Ambos sexos;Centro Público;Total;2.408
Total Nacional;06 Cantabria;Ambos sexos;Centro Público;Usuario experto;405
Total Nacional;06 Cantabria;Ambos sexos;Centro Público;Usuario de nivel avanzado;1.487
Total Nacional;06 Cantabria;Ambos sexos;Centro Público;Usuario de nivel básico;516
Total Nacional;06 Cantabria;Ambos sexos;Centro Público;No usuario de las TIC;0
Total Nacional;06 Cantabria;Ambos sexos;Centro Público;No consta;0
Total Nacional;06 Cantabria;Ambos sexos;Centro Privado;Total;1.460
Total Nacional;06 Cantabria;Ambos sexos;Centro Privado;Usuario experto;204
Total Nacional;06 Cantabria;Ambos sexos;Centro Privado;Usuario de nivel avanzado;927
Total Nacional;06 Cantabria;Ambos sexos;Centro Privado;Usuario de nivel básico;309
Total Nacional;06 Cantabria;Ambos sexos;Centro Privado;No usuario de las TIC;10
Total Nacional;06 Cantabria;Ambos sexos;Centro Privado;No consta;10
Total Nacional;06 Cantabria;Hombres;Total;Total;1.951
Total Nacional;06 Cantabria;Hombres;Total;Usuario experto;474
Total Nacional;06 Cantabria;Hombres;Total;Usuario de nivel avanzado;1.138
Total Nacional;06 Cantabria;Hombres;Total;Usuario de nivel básico;319
Total Nacional;06 Cantabria;Hombres;Total;No usuario de las TIC;10
Total Nacional;06 Cantabria;Hombres;Total;No consta;10
Total Nacional;06 Cantabria;Hombres;Centro Público;Total;1.213
Total Nacional;06 Cantabria;Hombres;Centro Público;Usuario experto;318
Total Nacional;06 Cantabria;Hombres;Centro Público;Usuario de nivel avanzado;682
Total Nacional;06 Cantabria;Hombres;Centro Público;Usuario de nivel básico;212
